Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Year,Month,Quarter,profit margin
19-12-2022,Printer,Office,North,3,3477,939.2,2022,December,Q4,0.270117918
20-12-2022,Camera,Electronics,North,5,3475,570.36,2022,December,Q4,0.164132374
21-12-2022,Laptop,Electronics,West,9,6138,1562.14,2022,December,Q4,0.254503095
22-12-2022,Camera,Electronics,West,5,3665,406.93,2022,December,Q4,0.111031378
23-12-2022,Printer,Office,North,2,2372,206.42,2022,December,Q4,0.087023609
24-12-2022,Laptop,Electronics,North,2,1382,211.11,2022,December,Q4,0.152756874
25-12-2022,Laptop,Electronics,West,1,1126,194.08,2022,December,Q4,0.172362345
26-12-2022,Printer,Office,West,8,1376,152.1,2022,December,Q4,0.110537791
27-12-2022,Mouse,Accessories,West,4,988,147.91,2022,December,Q4,0.149706478
28-12-2022,Laptop,Electronics,North,9,10773,1907.36,2022,December,Q4,0.177050032
29-12-2022,Headphones,Accessories,South,4,3252,713.46,2022,December,Q4,0.219391144
30-12-2022,Headphones,Accessories,North,3,2739,202.81,2022,December,Q4,0.074045272
31-12-2022,Tablet,Electronics,South,7,2709,702.79,2022,December,Q4,0.259427833
1/1/2023,Printer,Office,West,3,936,201.24,2023,January,Q1,0.215
2/1/2023,Camera,Electronics,West,4,3720,410.92,2023,January,Q1,0.110462366
3/1/2023,Mouse,Accessories,West,5,5320,716.91,2023,January,Q1,0.134757519
4/1/2023,Headphones,Accessories,East,4,804,121.51,2023,January,Q1,0.151131841
5/1/2023,Laptop,Electronics,North,8,1224,246.77,2023,January,Q1,0.201609477
6/1/2023,Headphones,Accessories,South,9,8667,781.78,2023,January,Q1,0.090201915
7/1/2023,Monitor,Accessories,West,3,3018,320.11,2023,January,Q1,0.106066932
8/1/2023,Laptop,Electronics,West,5,4325,1023.39,2023,January,Q1,0.236621965
9/1/2023,Laptop,Electronics,South,3,1557,181.08,2023,January,Q1,0.116300578
10/1/2023,Monitor,Accessories,South,6,3672,1002.5,2023,January,Q1,0.273011983
11/1/2023,Mouse,Accessories,West,1,333,72.34,2023,January,Q1,0.217237237
12/1/2023,Headphones,Accessories,West,4,2384,577.26,2023,January,Q1,0.242139262
13-01-2023,Mouse,Accessories,West,6,888,210.39,2023,January,Q1,0.236925676
14-01-2023,Laptop,Electronics,West,5,3280,954.17,2023,January,Q1,0.290905488
15-01-2023,Mouse,Accessories,South,7,1239,177.39,2023,January,Q1,0.143171913
16-01-2023,Headphones,Accessories,East,8,5880,436.85,2023,January,Q1,0.074294218
17-01-2023,Smartphone,Electronics,West,2,1668,437.3,2023,January,Q1,0.262170264
18-01-2023,Printer,Office,West,7,4109,1037.64,2023,January,Q1,0.252528596
19-01-2023,Smartwatch,Electronics,West,7,595,148.5,2023,January,Q1,0.249579832
20-01-2023,Headphones,Accessories,East,7,8155,1587.91,2023,January,Q1,0.194716125
21-01-2023,Monitor,Accessories,South,3,1872,553.1,2023,January,Q1,0.295459402
22-01-2023,Smartwatch,Electronics,East,6,2124,126.03,2023,January,Q1,0.059336158
23-01-2023,Monitor,Accessories,West,5,5210,1338.8,2023,January,Q1,0.25696737
24-01-2023,Mouse,Accessories,South,7,5761,362.48,2023,January,Q1,0.062919632
25-01-2023,Headphones,Accessories,South,7,6895,1596.35,2023,January,Q1,0.231522843
26-01-2023,Smartwatch,Electronics,East,3,2118,317.08,2023,January,Q1,0.149707271
27-01-2023,Smartwatch,Electronics,North,5,830,58.28,2023,January,Q1,0.070216867
28-01-2023,Smartwatch,Electronics,North,1,851,93.56,2023,January,Q1,0.109941246
29-01-2023,Tablet,Electronics,East,5,4730,1365.63,2023,January,Q1,0.288716702
30-01-2023,Mouse,Accessories,West,6,5460,845.75,2023,January,Q1,0.154899267
31-01-2023,Headphones,Accessories,East,5,5795,310.6,2023,January,Q1,0.053597929
1/2/2023,Laptop,Electronics,South,4,2008,338.44,2023,February,Q1,0.168545817
2/2/2023,Mouse,Accessories,South,7,2842,425.24,2023,February,Q1,0.149627023
3/2/2023,Mouse,Accessories,East,4,3404,392.22,2023,February,Q1,0.115223267
4/2/2023,Smartwatch,Electronics,West,1,1065,228.63,2023,February,Q1,0.214676056
5/2/2023,Tablet,Electronics,West,7,2149,121.69,2023,February,Q1,0.056626338
6/2/2023,Keyboard,Accessories,East,8,5912,1143.04,2023,February,Q1,0.193342355
7/2/2023,Mouse,Accessories,West,3,3348,331.28,2023,February,Q1,0.098948626
8/2/2023,Smartphone,Electronics,South,3,2409,531.79,2023,February,Q1,0.220751349
9/2/2023,Tablet,Electronics,North,2,328,39.51,2023,February,Q1,0.120457317
10/2/2023,Smartphone,Electronics,West,8,6224,1561.42,2023,February,Q1,0.250870823
11/2/2023,Smartwatch,Electronics,North,5,2530,486.09,2023,February,Q1,0.192130435
12/2/2023,Headphones,Accessories,West,4,4108,462.17,2023,February,Q1,0.112504869
13-02-2023,Printer,Office,South,5,1640,391.36,2023,February,Q1,0.238634146
14-02-2023,Laptop,Electronics,South,1,111,19.33,2023,February,Q1,0.174144144
15-02-2023,Headphones,Accessories,North,1,445,128.89,2023,February,Q1,0.289640449
16-02-2023,Printer,Office,North,4,3600,623.72,2023,February,Q1,0.173255556
17-02-2023,Mouse,Accessories,North,3,1335,176.44,2023,February,Q1,0.132164794
18-02-2023,Keyboard,Accessories,South,5,3090,242.15,2023,February,Q1,0.078365696
19-02-2023,Printer,Office,East,5,3910,538.52,2023,February,Q1,0.1377289
20-02-2023,Camera,Electronics,South,1,219,32.67,2023,February,Q1,0.149178082
21-02-2023,Smartphone,Electronics,West,5,390,27.77,2023,February,Q1,0.071205128
22-02-2023,Laptop,Electronics,North,6,3294,359.61,2023,February,Q1,0.10917122
23-02-2023,Keyboard,Accessories,West,4,4572,1038.05,2023,February,Q1,0.227045057
24-02-2023,Monitor,Accessories,South,7,980,109.94,2023,February,Q1,0.112183673
25-02-2023,Headphones,Accessories,North,2,2262,532.12,2023,February,Q1,0.235243148
26-02-2023,Camera,Electronics,South,7,7518,1655.91,2023,February,Q1,0.220259377
27-02-2023,Camera,Electronics,South,1,873,158.97,2023,February,Q1,0.18209622
28-02-2023,Mouse,Accessories,North,6,1512,423.03,2023,February,Q1,0.279781746
1/3/2023,Laptop,Electronics,West,1,705,165.16,2023,March,Q1,0.234269504
2/3/2023,Smartwatch,Electronics,North,8,3256,533.7,2023,March,Q1,0.163912776
3/3/2023,Tablet,Electronics,West,4,556,81.77,2023,March,Q1,0.147068345
4/3/2023,Mouse,Accessories,East,9,7101,2105.82,2023,March,Q1,0.296552598
5/3/2023,Laptop,Electronics,West,9,8802,1344.96,2023,March,Q1,0.152801636
6/3/2023,Headphones,Accessories,South,6,5592,1294.16,2023,March,Q1,0.231430615
7/3/2023,Tablet,Electronics,North,2,1852,168.92,2023,March,Q1,0.091209503
8/3/2023,Monitor,Accessories,East,1,195,57.88,2023,March,Q1,0.296820513
9/3/2023,Mouse,Accessories,East,9,7884,2054.02,2023,March,Q1,0.260530188
10/3/2023,Laptop,Electronics,East,5,4360,1160.55,2023,March,Q1,0.266181193
11/3/2023,Mouse,Accessories,North,6,4920,929.18,2023,March,Q1,0.188857724
12/3/2023,Mouse,Accessories,East,3,3474,565,2023,March,Q1,0.16263673
13-03-2023,Keyboard,Accessories,West,1,930,222.5,2023,March,Q1,0.239247312
14-03-2023,Tablet,Electronics,South,7,1421,248.02,2023,March,Q1,0.174539057
15-03-2023,Headphones,Accessories,North,2,634,161.1,2023,March,Q1,0.254100946
16-03-2023,Camera,Electronics,East,1,673,114.42,2023,March,Q1,0.170014859
17-03-2023,Mouse,Accessories,South,5,3135,787.7,2023,March,Q1,0.251259968
18-03-2023,Smartphone,Electronics,East,6,882,184.48,2023,March,Q1,0.209160998
19-03-2023,Smartphone,Electronics,East,4,1192,212.77,2023,March,Q1,0.178498322
20-03-2023,Printer,Office,South,3,390,112.08,2023,March,Q1,0.287384615
21-03-2023,Tablet,Electronics,North,1,834,95.54,2023,March,Q1,0.114556355
22-03-2023,Smartphone,Electronics,East,6,612,83.75,2023,March,Q1,0.136846405
23-03-2023,Headphones,Accessories,West,9,8073,710.23,2023,March,Q1,0.087975969
24-03-2023,Keyboard,Accessories,North,8,2640,723.88,2023,March,Q1,0.27419697
25-03-2023,Smartphone,Electronics,North,3,3234,440.7,2023,March,Q1,0.136270872
26-03-2023,Monitor,Accessories,West,5,4435,355.51,2023,March,Q1,0.08016009
27-03-2023,Smartwatch,Electronics,North,2,2302,305.07,2023,March,Q1,0.132523892
28-03-2023,Camera,Electronics,East,6,1728,307.44,2023,March,Q1,0.177916667
29-03-2023,Laptop,Electronics,East,4,228,54.05,2023,March,Q1,0.237061404
30-03-2023,Tablet,Electronics,West,6,3450,705.74,2023,March,Q1,0.204562319
31-03-2023,Smartphone,Electronics,South,8,7456,1702.48,2023,March,Q1,0.22833691
1/4/2023,Smartphone,Electronics,West,6,4728,705.85,2023,April,Q2,0.149291455
2/4/2023,Smartwatch,Electronics,North,7,945,124.62,2023,April,Q2,0.131873016
3/4/2023,Laptop,Electronics,North,4,296,65.05,2023,April,Q2,0.219763514
4/4/2023,Smartphone,Electronics,West,4,640,149.89,2023,April,Q2,0.234203125
5/4/2023,Tablet,Electronics,North,1,797,65.27,2023,April,Q2,0.081894605
6/4/2023,Monitor,Accessories,North,4,1456,431.89,2023,April,Q2,0.296627747
7/4/2023,Monitor,Accessories,South,6,4038,364.11,2023,April,Q2,0.090170877
8/4/2023,Tablet,Electronics,West,7,5656,355.81,2023,April,Q2,0.062908416
9/4/2023,Mouse,Accessories,West,4,3876,302.37,2023,April,Q2,0.078010836
10/4/2023,Keyboard,Accessories,South,6,1002,114.7,2023,April,Q2,0.114471058
11/4/2023,Headphones,Accessories,East,9,2187,413.76,2023,April,Q2,0.189190672
12/4/2023,Mouse,Accessories,North,6,7146,1627.42,2023,April,Q2,0.227738595
13-04-2023,Keyboard,Accessories,South,1,189,14.88,2023,April,Q2,0.078730159
14-04-2023,Monitor,Accessories,East,5,940,266.02,2023,April,Q2,0.283
15-04-2023,Headphones,Accessories,North,1,951,127.58,2023,April,Q2,0.134153523
16-04-2023,Printer,Office,East,2,124,27.42,2023,April,Q2,0.221129032
17-04-2023,Mouse,Accessories,West,9,7506,594.28,2023,April,Q2,0.079173994
18-04-2023,Monitor,Accessories,West,7,8176,2308.76,2023,April,Q2,0.282382583
19-04-2023,Smartphone,Electronics,East,5,2125,632.68,2023,April,Q2,0.297731765
20-04-2023,Headphones,Accessories,North,1,967,59.98,2023,April,Q2,0.062026887
21-04-2023,Headphones,Accessories,South,5,270,29.41,2023,April,Q2,0.108925926
22-04-2023,Keyboard,Accessories,West,9,10035,1486.3,2023,April,Q2,0.148111609
23-04-2023,Printer,Office,North,8,6792,1125.23,2023,April,Q2,0.165669906
24-04-2023,Printer,Office,East,1,714,99.13,2023,April,Q2,0.138837535
25-04-2023,Smartphone,Electronics,South,5,765,157.64,2023,April,Q2,0.206065359
26-04-2023,Headphones,Accessories,East,7,4221,358.02,2023,April,Q2,0.084818763
27-04-2023,Laptop,Electronics,North,4,2108,576.48,2023,April,Q2,0.273472486
28-04-2023,Monitor,Accessories,North,9,10530,2387.63,2023,April,Q2,0.226745489
29-04-2023,Keyboard,Accessories,South,6,3396,914.17,2023,April,Q2,0.269190224
30-04-2023,Monitor,Accessories,North,4,1060,213.05,2023,April,Q2,0.200990566
1/5/2023,Tablet,Electronics,East,5,480,73.07,2023,May,Q2,0.152229167
2/5/2023,Headphones,Accessories,West,3,2529,285.65,2023,May,Q2,0.112949783
3/5/2023,Smartwatch,Electronics,East,8,4792,511.97,2023,May,Q2,0.106838481
4/5/2023,Smartwatch,Electronics,East,8,8056,605.8,2023,May,Q2,0.07519861
5/5/2023,Tablet,Electronics,North,4,4228,947.76,2023,May,Q2,0.224162725
6/5/2023,Tablet,Electronics,East,1,653,93.78,2023,May,Q2,0.143614089
7/5/2023,Tablet,Electronics,North,9,7452,1212.51,2023,May,Q2,0.16270934
8/5/2023,Mouse,Accessories,East,4,4128,1156.71,2023,May,Q2,0.280210756
9/5/2023,Tablet,Electronics,West,5,5090,1201.56,2023,May,Q2,0.236062868
10/5/2023,Camera,Electronics,North,5,4930,387.33,2023,May,Q2,0.078565923
11/5/2023,Smartwatch,Electronics,South,6,2610,434.37,2023,May,Q2,0.166425287
12/5/2023,Laptop,Electronics,North,3,2139,415.84,2023,May,Q2,0.194408602
13-05-2023,Tablet,Electronics,South,1,226,55.4,2023,May,Q2,0.245132743
14-05-2023,Smartwatch,Electronics,West,2,2244,212.08,2023,May,Q2,0.094509804
15-05-2023,Monitor,Accessories,East,6,3150,578.87,2023,May,Q2,0.183768254
16-05-2023,Laptop,Electronics,South,7,3388,347.19,2023,May,Q2,0.102476387
17-05-2023,Laptop,Electronics,East,8,8736,580.31,2023,May,Q2,0.066427427
18-05-2023,Smartphone,Electronics,South,2,1102,176.53,2023,May,Q2,0.160190563
19-05-2023,Monitor,Accessories,East,3,2640,199.97,2023,May,Q2,0.075746212
20-05-2023,Printer,Office,West,3,2547,300.74,2023,May,Q2,0.118076168
21-05-2023,Laptop,Electronics,North,7,728,64.82,2023,May,Q2,0.089038462
22-05-2023,Camera,Electronics,South,7,3444,607.44,2023,May,Q2,0.176376307
23-05-2023,Camera,Electronics,West,5,3140,853.66,2023,May,Q2,0.271866242
24-05-2023,Smartphone,Electronics,East,3,435,129.27,2023,May,Q2,0.297172414
25-05-2023,Keyboard,Accessories,East,4,856,72.99,2023,May,Q2,0.085268692
26-05-2023,Printer,Office,North,2,112,23.33,2023,May,Q2,0.208303571
27-05-2023,Headphones,Accessories,North,3,2247,507.79,2023,May,Q2,0.225985759
28-05-2023,Keyboard,Accessories,West,2,1512,298.73,2023,May,Q2,0.197572751
29-05-2023,Mouse,Accessories,South,5,4915,1196.6,2023,May,Q2,0.2434588
30-05-2023,Mouse,Accessories,South,3,2709,663.54,2023,May,Q2,0.244939092
31-05-2023,Tablet,Electronics,North,7,1239,118.36,2023,May,Q2,0.095528652
1/6/2023,Tablet,Electronics,West,2,572,86.16,2023,June,Q2,0.150629371
2/6/2023,Smartwatch,Electronics,North,2,1708,93.25,2023,June,Q2,0.054596019
3/6/2023,Smartwatch,Electronics,North,4,360,42.66,2023,June,Q2,0.1185
4/6/2023,Camera,Electronics,North,6,3822,388.34,2023,June,Q2,0.101606489
5/6/2023,Camera,Electronics,North,6,4680,932.97,2023,June,Q2,0.199352564
6/6/2023,Camera,Electronics,North,5,2520,487.18,2023,June,Q2,0.193325397
7/6/2023,Smartwatch,Electronics,North,2,2138,619.29,2023,June,Q2,0.289658559
8/6/2023,Keyboard,Accessories,West,3,2529,169.6,2023,June,Q2,0.06706208
9/6/2023,Keyboard,Accessories,East,1,236,29.33,2023,June,Q2,0.124279661
10/6/2023,Tablet,Electronics,West,6,2730,636.48,2023,June,Q2,0.233142857
11/6/2023,Headphones,Accessories,North,3,3021,872.49,2023,June,Q2,0.288808342
12/6/2023,Smartwatch,Electronics,North,2,244,16.78,2023,June,Q2,0.068770492
13-06-2023,Camera,Electronics,South,8,728,120.06,2023,June,Q2,0.164917582
14-06-2023,Mouse,Accessories,North,3,453,89.49,2023,June,Q2,0.197549669
15-06-2023,Laptop,Electronics,South,1,379,84.38,2023,June,Q2,0.222638522
16-06-2023,Tablet,Electronics,West,3,2130,510.69,2023,June,Q2,0.239760563
17-06-2023,Monitor,Accessories,North,8,4120,710.11,2023,June,Q2,0.172356796
18-06-2023,Smartwatch,Electronics,South,7,3150,299.7,2023,June,Q2,0.095142857
19-06-2023,Smartwatch,Electronics,East,7,2688,603.07,2023,June,Q2,0.224356399
20-06-2023,Tablet,Electronics,East,2,1752,501.19,2023,June,Q2,0.286067352
21-06-2023,Keyboard,Accessories,North,7,7308,948.4,2023,June,Q2,0.129775588
22-06-2023,Tablet,Electronics,North,3,2007,160.84,2023,June,Q2,0.080139512
23-06-2023,Tablet,Electronics,West,7,7224,479.23,2023,June,Q2,0.066338594
24-06-2023,Monitor,Accessories,South,9,6939,1249.31,2023,June,Q2,0.180041793
25-06-2023,Smartphone,Electronics,East,7,5516,1475.67,2023,June,Q2,0.267525381
26-06-2023,Printer,Office,South,2,2224,116.47,2023,June,Q2,0.052369604
27-06-2023,Laptop,Electronics,South,5,3985,824.4,2023,June,Q2,0.206875784
28-06-2023,Camera,Electronics,North,7,2723,638.26,2023,June,Q2,0.234395887
29-06-2023,Tablet,Electronics,North,2,746,170.75,2023,June,Q2,0.228887399
30-06-2023,Laptop,Electronics,West,5,3170,245.25,2023,June,Q2,0.077365931
1/7/2023,Smartwatch,Electronics,East,5,550,63.11,2023,July,Q3,0.114745455
2/7/2023,Tablet,Electronics,North,8,480,132.45,2023,July,Q3,0.2759375
3/7/2023,Printer,Office,East,4,3284,354.4,2023,July,Q3,0.107917174
4/7/2023,Smartwatch,Electronics,South,2,1748,183.75,2023,July,Q3,0.105120137
5/7/2023,Headphones,Accessories,North,8,824,240.84,2023,July,Q3,0.292281553
6/7/2023,Headphones,Accessories,North,4,1872,448.46,2023,July,Q3,0.239561966
7/7/2023,Tablet,Electronics,West,3,627,103.98,2023,July,Q3,0.165837321
8/7/2023,Camera,Electronics,East,9,5661,1104.02,2023,July,Q3,0.195022081
9/7/2023,Camera,Electronics,North,3,2910,765.47,2023,July,Q3,0.26304811
10/7/2023,Tablet,Electronics,South,9,9036,1087.46,2023,July,Q3,0.120347499
11/7/2023,Tablet,Electronics,West,5,4815,338.31,2023,July,Q3,0.070261682
12/7/2023,Mouse,Accessories,South,1,1187,206.28,2023,July,Q3,0.173782645
13-07-2023,Headphones,Accessories,East,3,3339,732.92,2023,July,Q3,0.219502845
14-07-2023,Tablet,Electronics,East,1,620,165.43,2023,July,Q3,0.266822581
15-07-2023,Camera,Electronics,West,5,2025,414.42,2023,July,Q3,0.204651852
16-07-2023,Printer,Office,East,5,3030,811.92,2023,July,Q3,0.267960396
17-07-2023,Smartwatch,Electronics,North,5,655,166.69,2023,July,Q3,0.25448855
18-07-2023,Printer,Office,West,2,2238,294.54,2023,July,Q3,0.131608579
19-07-2023,Smartphone,Electronics,South,8,3312,811.31,2023,July,Q3,0.244960749
20-07-2023,Printer,Office,East,9,9387,1271.64,2023,July,Q3,0.135468201
21-07-2023,Mouse,Accessories,West,6,5790,1285.21,2023,July,Q3,0.221970639
22-07-2023,Laptop,Electronics,South,6,2700,527.97,2023,July,Q3,0.195544444
23-07-2023,Smartwatch,Electronics,East,8,2072,555.06,2023,July,Q3,0.2678861
24-07-2023,Keyboard,Accessories,North,3,2991,716.54,2023,July,Q3,0.239565363
25-07-2023,Laptop,Electronics,East,6,5568,958.59,2023,July,Q3,0.17216056
26-07-2023,Smartwatch,Electronics,North,7,5509,1648.74,2023,July,Q3,0.299281176
27-07-2023,Printer,Office,West,7,5922,1323.1,2023,July,Q3,0.223421142
28-07-2023,Smartphone,Electronics,South,4,4380,362.81,2023,July,Q3,0.082833333
29-07-2023,Tablet,Electronics,South,5,1760,272.68,2023,July,Q3,0.154931818
30-07-2023,Headphones,Accessories,North,9,5571,1523.81,2023,July,Q3,0.273525399
31-07-2023,Tablet,Electronics,South,2,1082,182.1,2023,July,Q3,0.168299445
1/8/2023,Camera,Electronics,East,1,569,138.11,2023,August,Q3,0.242724077
2/8/2023,Mouse,Accessories,North,8,3416,697.42,2023,August,Q3,0.204162763
3/8/2023,Printer,Office,West,1,570,57.07,2023,August,Q3,0.100122807
4/8/2023,Monitor,Accessories,East,6,3300,386.92,2023,August,Q3,0.117248485
5/8/2023,Laptop,Electronics,South,8,2584,568.77,2023,August,Q3,0.220112229
6/8/2023,Monitor,Accessories,South,9,7650,2204.44,2023,August,Q3,0.288162092
7/8/2023,Headphones,Accessories,West,8,3600,272.51,2023,August,Q3,0.075697222
8/8/2023,Monitor,Accessories,West,6,846,190.87,2023,August,Q3,0.225614657
9/8/2023,Smartphone,Electronics,West,1,51,9.36,2023,August,Q3,0.183529412
10/8/2023,Smartwatch,Electronics,South,6,7056,586.91,2023,August,Q3,0.083178855
11/8/2023,Smartwatch,Electronics,West,2,384,38.41,2023,August,Q3,0.100026042
12/8/2023,Laptop,Electronics,South,8,2928,663.54,2023,August,Q3,0.226618852
13-08-2023,Camera,Electronics,West,7,1904,352.86,2023,August,Q3,0.18532563
14-08-2023,Tablet,Electronics,East,2,2314,312.07,2023,August,Q3,0.134861711
15-08-2023,Printer,Office,South,4,1028,192.13,2023,August,Q3,0.186896887
16-08-2023,Headphones,Accessories,South,9,8307,1326.23,2023,August,Q3,0.159652101
17-08-2023,Printer,Office,West,9,1539,203.54,2023,August,Q3,0.132254711
18-08-2023,Tablet,Electronics,West,7,2506,537.98,2023,August,Q3,0.214676776
19-08-2023,Smartphone,Electronics,West,6,5778,1232.54,2023,August,Q3,0.213316026
20-08-2023,Tablet,Electronics,East,9,10188,2165.78,2023,August,Q3,0.212581468
21-08-2023,Monitor,Accessories,North,1,952,157.7,2023,August,Q3,0.165651261
22-08-2023,Smartwatch,Electronics,West,8,3624,750.86,2023,August,Q3,0.207190949
23-08-2023,Keyboard,Accessories,South,8,7968,1551.12,2023,August,Q3,0.194668675
24-08-2023,Mouse,Accessories,South,2,1254,250.09,2023,August,Q3,0.199433812
25-08-2023,Printer,Office,West,3,705,196.05,2023,August,Q3,0.278085106
26-08-2023,Mouse,Accessories,West,1,916,223.5,2023,August,Q3,0.243995633
27-08-2023,Printer,Office,North,2,848,129.96,2023,August,Q3,0.153254717
28-08-2023,Monitor,Accessories,East,8,2240,313.17,2023,August,Q3,0.139808036
29-08-2023,Monitor,Accessories,South,1,940,120.35,2023,August,Q3,0.128031915
30-08-2023,Headphones,Accessories,West,5,1550,203.51,2023,August,Q3,0.131296774
31-08-2023,Keyboard,Accessories,South,7,2352,256.4,2023,August,Q3,0.109013605
1/9/2023,Smartwatch,Electronics,North,9,1638,183.75,2023,September,Q3,0.112179487
2/9/2023,Camera,Electronics,North,6,7164,1442.72,2023,September,Q3,0.201384701
3/9/2023,Mouse,Accessories,East,1,205,54.54,2023,September,Q3,0.26604878
4/9/2023,Keyboard,Accessories,North,2,766,49.23,2023,September,Q3,0.06426893
5/9/2023,Keyboard,Accessories,North,1,168,17.84,2023,September,Q3,0.106190476
6/9/2023,Mouse,Accessories,South,1,1058,207.55,2023,September,Q3,0.196172023
7/9/2023,Keyboard,Accessories,South,5,1455,423.81,2023,September,Q3,0.291278351
8/9/2023,Camera,Electronics,East,2,2224,364.04,2023,September,Q3,0.16368705
9/9/2023,Smartphone,Electronics,West,7,1400,80.49,2023,September,Q3,0.057492857
10/9/2023,Smartphone,Electronics,East,7,7567,2213.18,2023,September,Q3,0.292477864
11/9/2023,Tablet,Electronics,East,6,3396,987.68,2023,September,Q3,0.290836278
12/9/2023,Smartwatch,Electronics,East,2,704,135.63,2023,September,Q3,0.19265625
13-09-2023,Tablet,Electronics,East,9,7767,2172.19,2023,September,Q3,0.279669113
14-09-2023,Mouse,Accessories,West,5,2050,157.13,2023,September,Q3,0.07664878
15-09-2023,Monitor,Accessories,North,9,10458,2799.48,2023,September,Q3,0.267687894
16-09-2023,Camera,Electronics,South,4,4700,619.26,2023,September,Q3,0.131757447
17-09-2023,Smartphone,Electronics,North,2,892,222.51,2023,September,Q3,0.249450673
18-09-2023,Laptop,Electronics,East,8,6968,1479.09,2023,September,Q3,0.212268944
19-09-2023,Laptop,Electronics,North,7,1344,300.88,2023,September,Q3,0.223869048
20-09-2023,Camera,Electronics,West,1,354,65.99,2023,September,Q3,0.186412429
21-09-2023,Monitor,Accessories,South,3,3051,662.23,2023,September,Q3,0.217053425
22-09-2023,Camera,Electronics,South,3,402,106.87,2023,September,Q3,0.265845771
23-09-2023,Monitor,Accessories,North,5,3570,517.82,2023,September,Q3,0.145047619
24-09-2023,Keyboard,Accessories,North,7,3829,876.35,2023,September,Q3,0.228871768
25-09-2023,Mouse,Accessories,North,7,4676,242.64,2023,September,Q3,0.051890505
26-09-2023,Keyboard,Accessories,East,3,1119,317.36,2023,September,Q3,0.283610366
27-09-2023,Smartphone,Electronics,East,4,4228,764.3,2023,September,Q3,0.18077105
28-09-2023,Headphones,Accessories,North,8,1240,251.2,2023,September,Q3,0.202580645
29-09-2023,Keyboard,Accessories,North,9,3591,342.18,2023,September,Q3,0.095288221
30-09-2023,Printer,Office,West,8,3952,451.08,2023,September,Q3,0.114139676
1/10/2023,Keyboard,Accessories,South,6,3648,1050.08,2023,October,Q4,0.287850877
2/10/2023,Monitor,Accessories,North,5,3875,768.74,2023,October,Q4,0.198384516
3/10/2023,Smartwatch,Electronics,West,8,3416,478.9,2023,October,Q4,0.140193208
4/10/2023,Tablet,Electronics,West,1,908,222.58,2023,October,Q4,0.245132159
5/10/2023,Headphones,Accessories,South,4,4532,987.32,2023,October,Q4,0.217855252
6/10/2023,Headphones,Accessories,East,4,4168,650.15,2023,October,Q4,0.155986084
7/10/2023,Laptop,Electronics,North,3,3543,941.37,2023,October,Q4,0.265698561
8/10/2023,Laptop,Electronics,East,6,5124,1078.57,2023,October,Q4,0.210493755
9/10/2023,Smartwatch,Electronics,South,9,5751,1196.23,2023,October,Q4,0.208003825
10/10/2023,Camera,Electronics,East,2,624,139.64,2023,October,Q4,0.223782051
11/10/2023,Camera,Electronics,South,1,508,151.29,2023,October,Q4,0.297814961
12/10/2023,Headphones,Accessories,South,4,4700,914.6,2023,October,Q4,0.194595745
13-10-2023,Keyboard,Accessories,West,8,3216,639.78,2023,October,Q4,0.198936567
14-10-2023,Laptop,Electronics,West,6,2844,581,2023,October,Q4,0.204289733
15-10-2023,Smartphone,Electronics,West,5,2385,258.6,2023,October,Q4,0.108427673
16-10-2023,Monitor,Accessories,South,8,928,170.05,2023,October,Q4,0.183243534
